Index,School,Ranking,Class
440,MILLSAPS,18.2,DIVISION 3
441,MISERICORDIA,10.1,DIVISION 3
442,MISSISSIPPI COLLEGE,40.2,DIVISION 3
443,MONMOUTH-IL,28.0,DIVISION 3
444,MONTCLAIR,24.5,DIVISION 3
445,MORAVIAN,14.0,DIVISION 3
446,MORRIS-MINNESOTA,-31.5,DIVISION 3
447,MORRISVILLE STATE - NY,23.7,DIVISION 3
448,MOUNT SAINT JOSEPH,30.0,DIVISION 3
449,MOUNT UNION,68.7,DIVISION 3
450,MUHLENBERG COLLEGE,51.3,DIVISION 3
451,MUSKINGUM,18.6,DIVISION 3
452,NEBRASKA WESLEYAN,17.1,DIVISION 3
453,NEW JERSEY,10.2,DIVISION 3
454,NICHOLS,4.4,DIVISION 3
455,NORTH CENTRAL-ILL,62.1,DIVISION 3
456,NORTH PARK,-0.8,DIVISION 3
457,NORTHWESTERN-MN.,-16.3,DIVISION 3
458,NORWICH,9.5,DIVISION 3
459,OBERLIN,-9.9,DIVISION 3
460,OCCIDENTAL,-14.1,DIVISION 3
461,OHIO NORTHERN,25.1,DIVISION 3
462,OHIO WESLYAN,25.5,DIVISION 3
463,OLIVET,21.5,DIVISION 3
464,OTTERBEIN,14.0,DIVISION 3
465,PACIFIC - OR,10.7,DIVISION 3
466,PACIFIC LUTHERAN,2.3,DIVISION 3
467,PLYMOUTH STATE,14.3,DIVISION 3
468,POMONA PITZER,17.0,DIVISION 3
469,PUGET SOUND,13.8,DIVISION 3
470,RANDOLPH-MACON,26.2,DIVISION 3
471,REDLANDS,39.5,DIVISION 3
472,RENSSELAER POLY-TECH,29.2,DIVISION 3
473,RHODES COLLEGE,-2.5,DIVISION 3
474,RIPON,6.2,DIVISION 3
475,ROCHESTER,-10.4,DIVISION 3
476,ROCKFORD,-14.8,DIVISION 3
477,ROSE-HULMAN,15.8,DIVISION 3
478,ROWAN,24.6,DIVISION 3
479,SALISBURY,34.0,DIVISION 3
480,SALVE REGINA,8.1,DIVISION 3
481,SEWANEE,-7.8,DIVISION 3
482,SHENANDOAH COLLEGE,26.7,DIVISION 3
483,SIMPSON,31.4,DIVISION 3
484,SOUTHERN VIRGINIA,8.3,DIVISION 3
485,SOUTHWESTERN - TX,16.8,DIVISION 3
486,SPRINGFIELD,15.3,DIVISION 3
487,ST. JOHN FISHER,24.1,DIVISION 3
488,ST. LAWRENCE,12.1,DIVISION 3
489,ST. SCHOLASTICA,-7.4,DIVISION 3
490,ST. VINCENT,-3.1,DIVISION 3
491,ST.JOHNS-MINNESOTA,51.1,DIVISION 3
492,ST.NORBERT,21.1,DIVISION 3
493,ST.OLAF,14.0,DIVISION 3
494,ST.THOMAS,55.7,DIVISION 3
495,STEVENSON,33.0,DIVISION 3
496,SUL ROSS STATE,2.4,DIVISION 3
497,SUNY - MARITIME,-15.1,DIVISION 3
498,SUSQUEHANNA,40.9,DIVISION 3
499,TEXAS LUTHERAN,42.1,DIVISION 3
500,THIEL,-4.7,DIVISION 3
501,TRINE,11.3,DIVISION 3
502,TRINITY COLLEGE - CT,33.7,DIVISION 3
503,TRINITY-TEXAS,29.6,DIVISION 3
504,TUFTS,21.3,DIVISION 3
505,U O F NEW ENGLAND,-7.4,DIVISION 3
506,UNION COLLEGE-NY ,35.4,DIVISION 3
507,URSINUS COLLEGE,28.9,DIVISION 3
508,UTICA,26.3,DIVISION 3
509,WABASH,37.4,DIVISION 3
510,WARTBURG,38.1,DIVISION 3
511,WASHINGTON & JEFFERSON,36.9,DIVISION 3
512,WASHINGTON & LEE,31.7,DIVISION 3
513,WASHINGTON-MO.,35.2,DIVISION 3
514,WAYNESBURG,0.7,DIVISION 3
515,WESLEY COLLEGE,32.4,DIVISION 3
516,WESLEYAN-CONN.,23.4,DIVISION 3
517,WESLEYAN-NORTH CAROLINA,16.7,DIVISION 3
518,WESTERN CONNECTICUT,7.2,DIVISION 3
519,WESTERN NEW ENGLAND,16.8,DIVISION 3
520,WESTFIELD-MASS.,-5.3,DIVISION 3
521,WESTMINSTER-MO.,-17.8,DIVISION 3
522,WESTMINSTER-PA,37.7,DIVISION 3
523,WHEATON COLLEGE,70.1,DIVISION 3
